OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.4, 2.4, 30, 670, 0, 1, "0.924979*((1.+(0.0593934*x))/(1.+(0.0554207*x)))" 
0, comb, central, 0, -2.4, 2.4, 30, 670, 0, 1, "0.924979*((1.+(0.0593934*x))/(1.+(0.0554207*x)))" 
0, comb, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.924979*((1.+(0.0593934*x))/(1.+(0.0554207*x))))-0.16960969567298889" 
0, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.924979*((1.+(0.0593934*x))/(1.+(0.0554207*x))))-0.13353665173053741" 
0, comb, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.924979*((1.+(0.0593934*x))/(1.+(0.0554207*x))))-0.09312458336353302" 
0, comb, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.924979*((1.+(0.0593934*x))/(1.+(0.0554207*x))))-0.089738175272941589" 
0, comb, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.924979*((1.+(0.0593934*x))/(1.+(0.0554207*x))))-0.15199247002601624" 
0, comb, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.924979*((1.+(0.0593934*x))/(1.+(0.0554207*x))))-0.28134390711784363" 
0, comb, down, 1, -2.4, 2.4, 300, 670, 0, 1, "(0.924979*((1.+(0.0593934*x))/(1.+(0.0554207*x))))-0.29390966892242432" 
0, comb, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.924979*((1.+(0.0593934*x))/(1.+(0.0554207*x))))-0.084804847836494446" 
0, comb, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.924979*((1.+(0.0593934*x))/(1.+(0.0554207*x))))-0.066768325865268707" 
0, comb, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.924979*((1.+(0.0593934*x))/(1.+(0.0554207*x))))-0.04656229168176651" 
0, comb, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.924979*((1.+(0.0593934*x))/(1.+(0.0554207*x))))-0.044869087636470795" 
0, comb, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.924979*((1.+(0.0593934*x))/(1.+(0.0554207*x))))-0.075996235013008118" 
0, comb, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.924979*((1.+(0.0593934*x))/(1.+(0.0554207*x))))-0.14067195355892181" 
0, comb, down, 0, -2.4, 2.4, 300, 670, 0, 1, "(0.924979*((1.+(0.0593934*x))/(1.+(0.0554207*x))))-0.14695483446121216" 
0, comb, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.924979*((1.+(0.0593934*x))/(1.+(0.0554207*x))))+0.16960969567298889" 
0, comb, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.924979*((1.+(0.0593934*x))/(1.+(0.0554207*x))))+0.13353665173053741" 
0, comb, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.924979*((1.+(0.0593934*x))/(1.+(0.0554207*x))))+0.09312458336353302" 
0, comb, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.924979*((1.+(0.0593934*x))/(1.+(0.0554207*x))))+0.089738175272941589" 
0, comb, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.924979*((1.+(0.0593934*x))/(1.+(0.0554207*x))))+0.15199247002601624" 
0, comb, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.924979*((1.+(0.0593934*x))/(1.+(0.0554207*x))))+0.28134390711784363" 
0, comb, up, 1, -2.4, 2.4, 300, 670, 0, 1, "(0.924979*((1.+(0.0593934*x))/(1.+(0.0554207*x))))+0.29390966892242432" 
0, comb, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.924979*((1.+(0.0593934*x))/(1.+(0.0554207*x))))+0.084804847836494446" 
0, comb, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.924979*((1.+(0.0593934*x))/(1.+(0.0554207*x))))+0.066768325865268707" 
0, comb, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.924979*((1.+(0.0593934*x))/(1.+(0.0554207*x))))+0.04656229168176651" 
0, comb, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.924979*((1.+(0.0593934*x))/(1.+(0.0554207*x))))+0.044869087636470795" 
0, comb, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.924979*((1.+(0.0593934*x))/(1.+(0.0554207*x))))+0.075996235013008118" 
0, comb, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.924979*((1.+(0.0593934*x))/(1.+(0.0554207*x))))+0.14067195355892181" 
0, comb, up, 0, -2.4, 2.4, 300, 670, 0, 1, "(0.924979*((1.+(0.0593934*x))/(1.+(0.0554207*x))))+0.14695483446121216" 
0, mujets, central, 1, -2.4, 2.4, 30, 670, 0, 1, "0.922013*((1.+(0.0594261*x))/(1.+(0.0548673*x)))" 
0, mujets, central, 0, -2.4, 2.4, 30, 670, 0, 1, "0.922013*((1.+(0.0594261*x))/(1.+(0.0548673*x)))" 
0, mujets, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.922013*((1.+(0.0594261*x))/(1.+(0.0548673*x))))-0.17724892497062683" 
0, mujets, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.922013*((1.+(0.0594261*x))/(1.+(0.0548673*x))))-0.13956008851528168" 
0, mujets, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.922013*((1.+(0.0594261*x))/(1.+(0.0548673*x))))-0.09764949232339859" 
0, mujets, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.922013*((1.+(0.0594261*x))/(1.+(0.0548673*x))))-0.09385690838098526" 
0, mujets, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.922013*((1.+(0.0594261*x))/(1.+(0.0548673*x))))-0.16237379610538483" 
0, mujets, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.922013*((1.+(0.0594261*x))/(1.+(0.0548673*x))))-0.30190297961235046" 
0, mujets, down, 1, -2.4, 2.4, 300, 670, 0, 1, "(0.922013*((1.+(0.0594261*x))/(1.+(0.0548673*x))))-0.31711658835411072" 
0, mujets, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.922013*((1.+(0.0594261*x))/(1.+(0.0548673*x))))-0.088624462485313416" 
0, mujets, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.922013*((1.+(0.0594261*x))/(1.+(0.0548673*x))))-0.069780044257640839" 
0, mujets, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.922013*((1.+(0.0594261*x))/(1.+(0.0548673*x))))-0.048824746161699295" 
0, mujets, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.922013*((1.+(0.0594261*x))/(1.+(0.0548673*x))))-0.04692845419049263" 
0, mujets, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.922013*((1.+(0.0594261*x))/(1.+(0.0548673*x))))-0.081186898052692413" 
0, mujets, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.922013*((1.+(0.0594261*x))/(1.+(0.0548673*x))))-0.15095148980617523" 
0, mujets, down, 0, -2.4, 2.4, 300, 670, 0, 1, "(0.922013*((1.+(0.0594261*x))/(1.+(0.0548673*x))))-0.15855829417705536" 
0, mujets, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.922013*((1.+(0.0594261*x))/(1.+(0.0548673*x))))+0.17724892497062683" 
0, mujets, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.922013*((1.+(0.0594261*x))/(1.+(0.0548673*x))))+0.13956008851528168" 
0, mujets, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.922013*((1.+(0.0594261*x))/(1.+(0.0548673*x))))+0.09764949232339859" 
0, mujets, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.922013*((1.+(0.0594261*x))/(1.+(0.0548673*x))))+0.09385690838098526" 
0, mujets, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.922013*((1.+(0.0594261*x))/(1.+(0.0548673*x))))+0.16237379610538483" 
0, mujets, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.922013*((1.+(0.0594261*x))/(1.+(0.0548673*x))))+0.30190297961235046" 
0, mujets, up, 1, -2.4, 2.4, 300, 670, 0, 1, "(0.922013*((1.+(0.0594261*x))/(1.+(0.0548673*x))))+0.31711658835411072" 
0, mujets, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.922013*((1.+(0.0594261*x))/(1.+(0.0548673*x))))+0.088624462485313416" 
0, mujets, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.922013*((1.+(0.0594261*x))/(1.+(0.0548673*x))))+0.069780044257640839" 
0, mujets, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.922013*((1.+(0.0594261*x))/(1.+(0.0548673*x))))+0.048824746161699295" 
0, mujets, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.922013*((1.+(0.0594261*x))/(1.+(0.0548673*x))))+0.04692845419049263" 
0, mujets, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.922013*((1.+(0.0594261*x))/(1.+(0.0548673*x))))+0.081186898052692413" 
0, mujets, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.922013*((1.+(0.0594261*x))/(1.+(0.0548673*x))))+0.15095148980617523" 
0, mujets, up, 0, -2.4, 2.4, 300, 670, 0, 1, "(0.922013*((1.+(0.0594261*x))/(1.+(0.0548673*x))))+0.15855829417705536" 
1, comb, central, 1, -2.4, 2.4, 30, 670, 0, 1, "0.965254" 
1, comb, central, 0, -2.4, 2.4, 30, 670, 0, 1, "0.965254" 
1, comb, down, 1, -2.4, 2.4, 30, 50, 0, 1, "0.965254-0.16037511825561523" 
1, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "0.965254-0.14245779812335968" 
1, comb, down, 1, -2.4, 2.4, 70, 100, 0, 1, "0.965254-0.10478173941373825" 
1, comb, down, 1, -2.4, 2.4, 100, 140, 0, 1, "0.965254-0.1455094963312149" 
1, comb, down, 1, -2.4, 2.4, 140, 200, 0, 1, "0.965254-0.23630200326442719" 
1, comb, down, 1, -2.4, 2.4, 200, 300, 0, 1, "0.965254-0.22251765429973602" 
1, comb, down, 1, -2.4, 2.4, 300, 670, 0, 1, "0.965254-0.34035113453865051" 
1, comb, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.965254-0.080187559127807617" 
1, comb, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.965254-0.07122889906167984" 
1, comb, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.965254-0.052390869706869125" 
1, comb, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.965254-0.072754748165607452" 
1, comb, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.965254-0.11815100163221359" 
1, comb, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.965254-0.11125882714986801" 
1, comb, down, 0, -2.4, 2.4, 300, 670, 0, 1, "0.965254-0.17017556726932526" 
